,InertiaNordicGWs,InertiaDE,InertiaFI,InertiaNO,InertiaSE
2018-01-03 08:00:00+00:00,224.356,9.762851399999999,41.388828800000006,70.7648103,102.43950950000001
2018-01-03 09:00:00+00:00,227.711,9.7326113,41.4887604,73.2572353,103.23239300000002
2018-01-03 10:00:00+00:00,229.683,9.6872512,41.674027099999996,74.3435155,103.97820620000002
2018-01-03 11:00:00+00:00,230.025,9.685687,41.7412753,75.4642908,103.13374690000002
2018-01-03 12:00:00+00:00,232.085,9.7951771,42.160745799999994,77.4333142,102.69576290000002
2018-01-03 13:00:00+00:00,234.711,9.6948112,42.216225400000006,78.8915462,103.9084172
2018-01-03 14:00:00+00:00,237.773,9.725051299999999,42.276753400000004,81.0160595,104.75513579999999
2018-01-03 15:00:00+00:00,240.368,9.707411200000001,42.3099939,82.1712209,106.17937400000001
2018-01-03 16:00:00+00:00,241.067,9.6816862,42.3500083,82.738684,106.29662149999999
2018-01-03 17:00:00+00:00,239.729,9.806951699999999,42.3530766,81.57643949999999,105.99253220000003
2018-01-03 18:00:00+00:00,236.166,9.806951699999999,42.4077956,79.5574608,104.3937919
2018-01-03 19:00:00+00:00,230.107,9.7918316,42.2376682,75.93456780000001,102.14293239999999
2018-01-03 20:00:00+00:00,223.75,9.5575423,41.418121400000004,72.29266559999999,100.48167070000002
2018-01-03 21:00:00+00:00,213.893,9.6538329,40.9361716,67.2632481,96.03974740000001
2018-01-03 22:00:00+00:00,204.046,9.7067531,40.6192036,60.9523667,92.76767659999999
2018-01-03 23:00:00+00:00,195.672,9.593352699999999,40.3782068,55.5107923,90.18964820000002
2018-01-04 00:00:00+00:00,191.94,9.6387129,40.392223,52.1543933,89.75467079999999
2018-01-04 01:00:00+00:00,190.082,9.5555526,40.3919122,49.465824399999995,90.66871079999999
2018-01-04 02:00:00+00:00,200.056,9.752113300000001,40.3903682,48.821122300000006,101.0923962
2018-01-04 03:00:00+00:00,201.399,9.6387129,40.463600400000004,49.0715855,102.22510120000001
2018-01-04 04:00:00+00:00,206.325,9.615500599999999,40.916116699999996,53.235836799999994,102.55754590000001
2018-01-04 05:00:00+00:00,223.46,9.661393,41.6462535,65.2958102,106.8565433
2018-01-04 06:00:00+00:00,245.235,9.6836029,42.2737836,77.33279970000001,115.94481379999999
2018-01-04 07:00:00+00:00,256.518,9.9106137,42.9279901,83.5647332,120.11466299999998
2018-01-04 08:00:00+00:00,256.352,9.9657122,42.2796306,84.4462763,119.66038089999998
2018-01-04 09:00:00+00:00,257.717,9.9208029,42.296945099999995,85.4424617,120.05679029999999
2018-01-04 10:00:00+00:00,257.048,10.068798300000001,42.656294800000005,85.6496091,118.67329779999999
2018-01-04 11:00:00+00:00,257.666,10.0775226,42.3770781,85.88434729999999,119.327052
2018-01-04 12:00:00+00:00,258.525,10.0231697,42.4476902,85.9553443,120.09879579999999
2018-01-04 13:00:00+00:00,257.58,10.006142200000001,42.5279103,86.1326124,118.91333509999998
2018-01-04 14:00:00+00:00,258.385,10.0746693,42.531583700000006,86.6303533,119.14839369999999
2018-01-04 15:00:00+00:00,259.297,9.9315166,42.5711484,87.18729300000001,119.607042
2018-01-04 16:00:00+00:00,258.699,9.8340643,42.531612,86.4978294,119.83549430000002
2018-01-04 17:00:00+00:00,256.793,9.718020000000001,42.466997000000006,86.3363741,118.27160889999999
2018-01-04 18:00:00+00:00,253.699,9.7952645,42.4255924,84.80375380000001,116.6743893
2018-01-04 19:00:00+00:00,248.396,9.7732507,42.2876051,80.5305038,115.80464039999997
2018-01-04 20:00:00+00:00,240.502,9.6477924,41.6200163,76.5334939,112.7006974
2018-01-04 21:00:00+00:00,233.105,9.6235928,41.0090029,72.1573539,110.31505039999999
2018-01-04 22:00:00+00:00,216.99,9.668953,40.816074099999994,63.1948443,103.31012860000004
2018-01-04 23:00:00+00:00,203.235,9.7048021,40.419745199999994,53.4473995,99.66305320000002
2018-01-05 00:00:00+00:00,196.339,9.5162892,40.3973919,46.9111391,99.51417980000001
2018-01-05 01:00:00+00:00,193.26,9.6377374,40.7138701,43.4319243,99.4764682
2018-01-05 02:00:00+00:00,192.62,9.578232700000001,40.7624934,42.8610598,99.41821410000003
2018-01-05 03:00:00+00:00,197.216,9.5857927,40.734344899999996,44.441391499999995,102.4544709
2018-01-05 04:00:00+00:00,202.434,9.5857927,40.8312915,48.1787413,103.8381745
2018-01-05 05:00:00+00:00,217.766,9.661393,42.308572999999996,58.9081827,106.8878513
2018-01-05 06:00:00+00:00,240.376,9.6231227,42.5437504,74.01902340000001,114.19010349999999
2018-01-05 07:00:00+00:00,249.332,9.7918316,42.5993948,80.3715474,116.5692262
2018-01-05 08:00:00+00:00,251.794,9.8598719,42.6007435,82.7749577,116.55842690000001
2018-01-05 09:00:00+00:00,254.369,9.8220717,42.671796199999996,84.2507163,117.62441580000001
2018-01-05 10:00:00+00:00,255.063,9.9106137,42.6883053,84.0891098,118.37497119999999
2018-01-05 11:00:00+00:00,254.593,9.9192056,42.730282200000005,83.4603669,118.48314529999999
2018-01-05 12:00:00+00:00,254.605,10.0914784,42.7440237,83.30237799999999,118.46711989999999
2018-01-05 13:00:00+00:00,254.746,10.1182572,42.7707901,83.5686022,118.28835050000002
2018-01-05 14:00:00+00:00,256.6,10.1195421,42.696930200000004,85.0805061,118.70302160000004
2018-01-05 15:00:00+00:00,259.061,10.020279500000001,42.6721267,86.1779365,120.19065729999996
2018-01-05 16:00:00+00:00,258.66,10.0841679,42.749385000000004,85.6166473,120.2097998
2018-01-05 17:00:00+00:00,256.953,10.1135509,42.73705399999999,84.14744449999999,119.95495059999998
2018-01-05 18:00:00+00:00,253.788,10.2082402,42.7168935,81.9112126,118.95165370000001
2018-01-05 19:00:00+00:00,246.984,9.9357942,42.730173300000004,79.4709776,114.84705490000002
2018-01-05 20:00:00+00:00,242.986,9.7918316,42.2065137,76.93109480000001,114.0565599
2018-01-05 21:00:00+00:00,236.999,9.9430322,42.0700098,73.7112341,111.27472389999998
2018-01-05 22:00:00+00:00,229.091,9.890111999999998,41.6669553,69.8515421,107.68239060000003
2018-01-05 23:00:00+00:00,219.047,9.7375725,41.2927833,66.10811650000001,101.9085277
2018-01-06 00:00:00+00:00,210.273,9.6538329,40.7950785,59.4198952,100.40419339999998
2018-01-06 01:00:00+00:00,203.844,9.6462729,40.752722,53.7009566,99.7440485
2018-01-06 02:00:00+00:00,200.525,9.668953,40.7625931,50.4487673,99.64468660000001
2018-01-06 03:00:00+00:00,203.063,9.661393,40.7843914,53.1039551,99.51326049999997
2018-01-06 04:00:00+00:00,208.855,9.6311529,40.985302499999996,58.5152941,99.7232505
2018-01-06 05:00:00+00:00,215.9,9.6538329,41.2478323,63.740540800000005,101.257794
2018-01-06 06:00:00+00:00,224.365,9.7899134,41.33463200000001,69.5146737,103.72578090000002
2018-01-06 07:00:00+00:00,231.506,9.752113300000001,41.3774316,72.3144061,108.06204900000002
2018-01-06 08:00:00+00:00,238.178,9.7672333,41.823053099999996,75.6181147,110.96959890000002
2018-01-06 09:00:00+00:00,242.843,9.774323200000001,42.0168983,79.142994,111.90878449999998
2018-01-06 10:00:00+00:00,244.725,9.9430322,42.0230082,80.3164647,112.4424949
2018-01-06 11:00:00+00:00,244.293,9.9808323,42.0431564,79.1242908,113.14472049999999
2018-01-06 12:00:00+00:00,243.218,9.9279121,42.0302089,78.0565849,113.20329410000001
2018-01-06 13:00:00+00:00,242.931,9.9354721,42.11380200000001,77.6917363,113.18998959999999
2018-01-06 14:00:00+00:00,245.128,9.9203521,42.1348036,79.8629512,113.20989309999999
2018-01-06 15:00:00+00:00,248.99,10.0041621,42.1310654,83.02920599999999,113.82556650000004
2018-01-06 16:00:00+00:00,249.729,10.074513999999999,42.103746400000006,83.9172833,113.63345630000002
2018-01-06 17:00:00+00:00,248.366,9.9488383,42.1298247,82.6452245,113.64211250000001
2018-01-06 18:00:00+00:00,245.009,9.9279121,42.0931633,80.3965352,112.59138939999998
2018-01-06 19:00:00+00:00,239.125,9.9430322,42.0814064,76.55200549999999,110.54855590000001
2018-01-06 20:00:00+00:00,235.478,9.8492273,42.0794751,73.9654133,109.58388430000002
2018-01-06 21:00:00+00:00,228.553,9.7901382,42.0455724,68.7125626,108.0047268
2018-01-06 22:00:00+00:00,217.509,9.7674581,41.7902629,63.280968,102.670311
2018-01-06 23:00:00+00:00,204.525,9.755346900000001,41.2828766,54.592279000000005,98.89449749999999
2018-01-07 00:00:00+00:00,198.58,9.783477999999999,41.278906799999994,49.689572,97.82804320000002
2018-01-07 01:00:00+00:00,195.232,9.8439582,41.2652548,46.84326110000001,97.27952589999998
2018-01-07 02:00:00+00:00,193.989,9.8363982,41.2846148,45.478308,97.38967900000003
2018-01-07 03:00:00+00:00,194.244,9.7154378,41.2820301,45.622530100000006,97.62400200000002
2018-01-07 04:00:00+00:00,196.904,9.6927577,41.6272921,47.1213134,98.46263680000001
2018-01-07 05:00:00+00:00,201.014,9.775917999999999,41.9082016,49.4892117,99.84066870000004
2018-01-07 06:00:00+00:00,206.543,9.8399503,41.9719695,53.1652892,101.56579100000002
2018-01-07 07:00:00+00:00,212.147,9.812818199999999,42.001007000000016,56.9611204,103.37205439999997
2018-01-07 08:00:00+00:00,217.838,9.7641559,42.0083901,61.6514219,104.41403209999999
2018-01-07 09:00:00+00:00,222.014,9.7946595,42.063247000000004,65.289913,104.8661805
2018-01-07 10:00:00+00:00,224.408,9.878682399999999,42.057721400000005,67.0030081,105.46858809999996
2018-01-07 11:00:00+00:00,224.551,9.8106424,41.8966736,66.5368076,106.3068764
2018-01-07 12:00:00+00:00,220.955,9.780402500000001,41.932510199999996,61.9884573,107.25363000000002
2018-01-07 13:00:00+00:00,220.299,9.8711224,41.9556846,61.3769107,107.09528230000001
2018-01-07 14:00:00+00:00,224.46,9.8484424,41.9732402,65.5078957,107.1304217
2018-01-07 15:00:00+00:00,232.124,9.884525799999999,42.240138800000004,71.4644142,108.53492119999999
2018-01-07 16:00:00+00:00,241.239,9.744778,42.2348802,78.00255680000001,111.25678500000001
2018-01-07 17:00:00+00:00,243.944,9.775018099999999,42.2171417,80.0295026,111.92233759999999
2018-01-07 18:00:00+00:00,241.505,9.7674581,42.2259565,78.35784020000001,111.15374519999999
2018-01-07 19:00:00+00:00,236.321,9.7069779,42.5925503,73.8106164,110.2108554
2018-01-07 20:00:00+00:00,227.037,9.7674581,42.635434000000004,67.2404633,107.3936446
2018-01-07 21:00:00+00:00,221.777,9.6289892,42.5620783,63.8544232,105.73150929999998
2018-01-07 22:00:00+00:00,209.046,9.599219300000001,42.5511706,53.5206908,103.37491929999997
2018-01-07 23:00:00+00:00,195.276,9.599219300000001,42.2571949,43.8101175,99.6094683
2018-01-08 00:00:00+00:00,190.331,9.6370194,42.0657783,39.7465307,98.88167159999998
2018-01-08 01:00:00+00:00,189.307,9.6294594,42.0260437,38.90288579999999,98.74861109999999
2018-01-08 02:00:00+00:00,190.589,9.621899299999999,41.99081150000001,39.878464099999995,99.0978251
2018-01-08 03:00:00+00:00,196.808,9.508499,42.218745600000005,42.7704089,102.31034649999998
2018-01-08 04:00:00+00:00,207.734,9.6143393,42.5604902,51.4348039,104.1243666
2018-01-08 05:00:00+00:00,232.963,9.531179,43.0623036,68.9457737,111.42374369999997
2018-01-08 06:00:00+00:00,252.051,9.605343300000001,43.1201889,81.5276158,117.79785199999995
2018-01-08 07:00:00+00:00,256.506,9.862452,43.190236299999995,84.7826035,118.67070819999998
2018-01-08 08:00:00+00:00,256.458,10.8208544,43.273824999999995,84.2657564,118.09756420000004
2018-01-08 09:00:00+00:00,256.368,11.085480299999999,43.325084600000004,83.85814909999999,118.099286
2018-01-08 10:00:00+00:00,255.469,10.779597299999999,43.3335965,83.1748293,118.18097689999999
2018-01-08 11:00:00+00:00,254.046,10.0891607,43.47521,82.6103565,117.87127279999999
2018-01-08 12:00:00+00:00,254.115,10.843735500000001,43.5709654,81.740246,117.9600531
2018-01-08 13:00:00+00:00,254.11,10.0854466,43.623369100000005,82.7067134,117.69447090000001
2018-01-08 14:00:00+00:00,255.851,9.8771816,43.6710697,84.2726663,118.0300824
2018-01-08 15:00:00+00:00,258.435,9.948898699999999,43.817628400000004,85.4303813,119.23809159999999
2018-01-08 16:00:00+00:00,259.249,9.9262186,43.7956431,86.0936971,119.43344120000002
2018-01-08 17:00:00+00:00,256.611,9.9035385,43.8993082,83.9754578,118.83269549999999
2018-01-08 18:00:00+00:00,248.738,9.752338,43.6292305,78.7926703,116.56376119999999
2018-01-08 19:00:00+00:00,236.698,9.8203783,43.3722353,72.1003831,111.40500330000002
2018-01-08 20:00:00+00:00,229.397,9.8354983,43.111830499999996,67.09832970000001,109.35134149999998
2018-01-08 21:00:00+00:00,222.213,9.843058300000001,42.980827899999994,62.5180243,106.87108950000001
2018-01-08 22:00:00+00:00,211.849,9.752338,42.7853918,55.1703824,104.14088779999997
2018-01-08 23:00:00+00:00,202.486,9.611699,42.665045299999996,49.4341533,100.77510240000001
2018-01-09 00:00:00+00:00,198.905,9.561419099999998,42.2391539,47.3017497,99.80267730000001
2018-01-09 01:00:00+00:00,198.502,9.6823796,42.0964199,46.9597641,99.76343640000002
2018-01-09 02:00:00+00:00,199.465,9.6672595,42.0985684,47.6147974,100.0843747
2018-01-09 03:00:00+00:00,205.709,9.6294594,42.816273699999996,49.766317799999996,103.49694910000002
2018-01-09 04:00:00+00:00,214.494,9.7579798,43.2475637,56.6443029,104.84415360000001
2018-01-09 05:00:00+00:00,230.964,9.7428598,43.4513383,67.2603204,110.5094815
2018-01-09 06:00:00+00:00,250.105,9.3727491,43.6269286,80.2822957,116.8230266
2018-01-09 07:00:00+00:00,253.731,9.2714161,43.6442682,82.8464559,117.96885979999999
2018-01-09 08:00:00+00:00,253.195,9.2798257,43.646302000000006,82.2809754,117.9878969
2018-01-09 09:00:00+00:00,252.487,9.2951234,43.5464219,81.8589892,117.78646550000002
2018-01-09 10:00:00+00:00,251.396,9.2745583,43.1790587,81.1792579,117.76312510000001
2018-01-09 11:00:00+00:00,249.458,9.2594383,43.1579966,80.26295329999999,116.77761180000002
2018-01-09 12:00:00+00:00,249.135,9.2856409,43.316838499999996,80.0562884,116.4762322
2018-01-09 13:00:00+00:00,248.249,9.362645200000001,43.5179861,79.6647582,115.7036105
2018-01-09 14:00:00+00:00,249.672,9.289678400000001,43.6147202,80.7201285,116.04747289999999
2018-01-09 15:00:00+00:00,254.87,9.289678400000001,43.7113401,83.58327229999999,118.2857092
2018-01-09 16:00:00+00:00,257.505,9.2669983,43.692916700000005,85.4631673,119.08191769999998
2018-01-09 17:00:00+00:00,256.294,9.2821184,43.694968800000005,84.23892269999999,119.0779901
2018-01-09 18:00:00+00:00,253.633,9.2518783,43.6415634,82.8668684,117.87268990000003
2018-01-09 19:00:00+00:00,247.101,9.2745583,43.5275034,79.9286035,114.37033480000001
2018-01-09 20:00:00+00:00,242.107,9.1636892,43.46856200000001,76.8053474,112.66940139999998
2018-01-09 21:00:00+00:00,235.333,9.0987595,43.4001402,71.7060007,111.12809959999998
2018-01-09 22:00:00+00:00,225.067,9.0388115,42.8473504,66.5293854,106.6514527
2018-01-09 23:00:00+00:00,219.913,9.0609594,42.247351699999996,64.9795064,103.62518250000001
2018-01-10 00:00:00+00:00,214.101,9.1138796,42.3152434,60.230546499999996,102.44133049999999
2018-01-10 01:00:00+00:00,211.592,9.030719300000001,43.3643133,57.4018351,101.7951323
2018-01-10 02:00:00+00:00,211.492,9.0911995,43.6598332,57.0992217,101.6417456
2018-01-10 03:00:00+00:00,218.86,8.9702391,44.1088889,61.3620527,104.4188193
2018-01-10 04:00:00+00:00,235.378,9.1386885,44.2357169,73.22848420000001,108.77511039999997
2018-01-10 05:00:00+00:00,254.849,9.164108200000001,44.475066700000006,83.9254754,117.28434969999999
2018-01-10 06:00:00+00:00,265.24,9.3293525,45.0857736,89.7153158,121.1095581
2018-01-10 07:00:00+00:00,265.306,9.4923515,44.9569146,88.8280664,122.02866749999997
2018-01-10 08:00:00+00:00,264.692,9.4681712,45.0547951,87.738375,122.4306587
2018-01-10 09:00:00+00:00,264.131,9.6151976,45.094438800000006,87.8161871,121.60517649999998
2018-01-10 10:00:00+00:00,264.35,9.5106235,45.0011896,87.93363219999999,121.90455470000002
2018-01-10 11:00:00+00:00,262.508,9.4680113,45.027915500000006,86.6170132,121.39505999999997
2018-01-10 12:00:00+00:00,263.064,9.448166800000001,45.1665451,87.5656121,120.88367600000002
2018-01-10 13:00:00+00:00,264.888,9.4298656,45.1429783,88.97386300000002,121.34129309999994
2018-01-10 14:00:00+00:00,266.03,9.530417400000001,45.1482036,89.0990757,122.25230330000001
2018-01-10 15:00:00+00:00,264.94,9.3204697,45.164443399999996,88.0745159,122.38057100000003
2018-01-10 16:00:00+00:00,262.915,9.4453953,45.1575753,86.72104309999999,121.59098630000004
2018-01-10 17:00:00+00:00,262.673,9.3579738,45.1687099,87.515666,120.6306503
2018-01-10 18:00:00+00:00,263.261,9.4850574,44.9966686,87.91479910000001,120.86447490000003
2018-01-10 19:00:00+00:00,259.929,9.4711677,44.5528135,86.1395685,119.7654503
2018-01-10 20:00:00+00:00,254.35,9.341674999999999,44.2726952,84.61885649999999,116.11677329999998
2018-01-10 21:00:00+00:00,246.658,9.341674999999999,43.6478618,82.4615181,111.20694509999996
2018-01-10 22:00:00+00:00,238.369,9.349235,43.5693919,77.4368105,108.0135626
2018-01-10 23:00:00+00:00,233.669,9.1030641,43.2862329,76.5090022,104.77070079999999
2018-01-11 00:00:00+00:00,228.607,9.123133099999999,42.520616499999996,73.0919746,103.87127580000002
2018-01-11 01:00:00+00:00,226.432,9.115573,42.8280685,71.5484223,102.93993619999998
2018-01-11 02:00:00+00:00,227.479,9.145813200000001,43.1949421,72.0109611,103.12728360000003
2018-01-11 03:00:00+00:00,233.012,9.053670799999999,43.6256788,74.94335830000001,105.38929209999999
2018-01-11 04:00:00+00:00,241.339,9.1870439,44.1439586,78.6103783,109.39761920000002
2018-01-11 05:00:00+00:00,254.176,9.2277299,44.6264066,83.3508027,116.9710608
2018-01-11 06:00:00+00:00,262.048,10.446610699999999,44.813852,86.5297824,120.2577549
2018-01-11 07:00:00+00:00,263.969,10.5282003,44.8936049,87.7602188,120.786976
2018-01-11 08:00:00+00:00,264.683,10.5199516,45.0286684,88.1969599,120.93742009999997
2018-01-11 09:00:00+00:00,265.356,10.5895578,44.8948368,88.2509048,121.62070059999999
2018-01-11 10:00:00+00:00,265.994,10.720824,44.877088300000004,88.540913,121.85517470000003
2018-01-11 11:00:00+00:00,265.404,10.7127727,44.8730348,88.0701323,121.74806020000001
2018-01-11 12:00:00+00:00,265.216,10.6820839,44.8061517,88.1631694,121.56459500000001
2018-01-11 13:00:00+00:00,265.32,10.402532800000001,44.832148600000004,88.4488462,121.63647239999999
2018-01-11 14:00:00+00:00,264.823,9.6112033,44.8386121,88.744541,121.62864359999998
2018-01-11 15:00:00+00:00,263.67,9.543880999999999,44.9370982,87.5365553,121.6524655
2018-01-11 16:00:00+00:00,263.296,9.609789000000001,44.8947517,87.16491719999999,121.6265421
2018-01-11 17:00:00+00:00,262.986,9.555164699999999,44.8823419,86.88448059999999,121.6640128
2018-01-11 18:00:00+00:00,261.917,9.4575955,44.8428234,86.40045699999999,121.21612409999997
2018-01-11 19:00:00+00:00,256.224,9.396659600000001,44.598718500000004,85.94850300000002,116.28011889999999
2018-01-11 20:00:00+00:00,251.08,9.2801836,44.4476618,84.6289759,112.7231787
2018-01-11 21:00:00+00:00,243.15,9.210623799999999,44.2664516,79.84265769999999,109.8302669
2018-01-11 22:00:00+00:00,236.003,9.061078299999998,43.720473299999995,75.3685966,107.85285179999998
2018-01-11 23:00:00+00:00,229.305,9.1130739,43.5313438,72.236062,104.42452030000001
2018-01-12 00:00:00+00:00,225.424,9.1223395,43.4961053,69.141218,103.66433719999999
2018-01-12 01:00:00+00:00,223.105,9.111227300000001,43.5571387,67.2923155,103.1443185
2018-01-12 02:00:00+00:00,224.116,9.1005592,43.6496671,67.657162,103.70861170000003
2018-01-12 03:00:00+00:00,229.71,9.1081193,43.6913348,70.32643850000001,106.58410740000001
2018-01-12 04:00:00+00:00,240.753,9.1176993,44.1618085,77.3271936,110.14629859999998
2018-01-12 05:00:00+00:00,254.887,9.1517117,44.6556365,83.2822816,117.79737020000002
2018-01-12 06:00:00+00:00,264.604,9.2247104,44.9025884,88.0570022,122.41969899999998
2018-01-12 07:00:00+00:00,264.131,9.440321599999999,44.9342684,87.2977344,122.45867559999996
2018-01-12 08:00:00+00:00,263.561,9.3196432,44.9407762,86.852459,122.4481216
2018-01-12 09:00:00+00:00,265.049,9.4203723,44.9634552,88.1969799,122.46819259999998
2018-01-12 10:00:00+00:00,265.641,10.4428643,44.971076800000006,87.6195661,122.60749280000003
2018-01-12 11:00:00+00:00,264.365,9.462107099999999,44.98295200000001,87.6694707,122.2504702
2018-01-12 12:00:00+00:00,264.553,9.459359300000001,44.937057,87.54601,122.6105737
2018-01-12 13:00:00+00:00,264.93,9.405181,45.2259639,87.0792393,123.2196158
2018-01-12 14:00:00+00:00,264.75,9.328145200000002,45.2667367,87.444549,122.71056910000001
2018-01-12 15:00:00+00:00,265.155,9.3583853,45.2986681,87.9871449,122.51080169999997
2018-01-12 16:00:00+00:00,265.686,9.328145200000002,45.2687048,88.54635689999999,122.5427931
2018-01-12 17:00:00+00:00,265.618,9.418865499999999,45.2690466,88.26606,122.66402790000002
2018-01-12 18:00:00+00:00,262.404,9.4825031,45.1210038,86.1874741,121.61301899999998
2018-01-12 19:00:00+00:00,252.684,9.2193286,43.9901586,82.5962772,116.87823559999998
2018-01-12 20:00:00+00:00,248.13,9.0937928,43.9076703,81.227288,113.9012489
2018-01-12 21:00:00+00:00,239.766,9.1240329,43.2879484,76.6689495,110.68506919999999
2018-01-12 22:00:00+00:00,232.739,9.139153,42.9115448,72.25900659999999,108.42929560000002
2018-01-12 23:00:00+00:00,228.66,9.0947605,41.6594559,71.8234949,106.0822887
2018-01-13 00:00:00+00:00,224.527,9.0920993,41.6752815,69.66796670000001,104.09165249999997
2018-01-13 01:00:00+00:00,219.808,9.1033343,41.674571900000004,66.43920419999999,102.59088959999998
